18425<-ID->()||<BIN>97</BIN><BGM>BGM_Empty</BGM>:攝影棚內。
18426<-ID->()||<BGM>BGM_Sunshine</BGM>:根據之前赫麗安傳達的信息……+今天在這個攝影棚內進行拍攝的人員，除了我們要保護的目標之外，就只有格里芬的人形們了。+在拍攝的間隙，我在攝影棚內散步，順便觀察有沒有可疑的人。
18427<-ID->指揮官()||:好的，這裡也沒問題。+快到中午了啊……希望這一天能平安度過。
18428<-ID->()||:這時，一個攝影棚的工作人員急匆匆地向我走來。
18429<-ID->工作人員()||:打擾一下，請問您是格里芬公司在這裡的負責人嗎？
18430<-ID->指揮官()||:是的，怎麼了？
18431<-ID->工作人員()||<黑点1>:參加拍攝的一位小姐說她身體不舒服，請您快去看看吧。
18432<-ID->()||<BGM>BGM_Empty</BGM><BIN>80</BIN><黑点2>:我急忙和工作人員前往攝影棚的休息區。+休息區內，一位少女正懶洋洋地倚在沙發上。
18433<-ID->指揮官()||<BGM>BGM_Hello</BGM>:你是……56？+（這大大咧咧的姿勢和婚紗……稍稍有點不搭調啊。）
18434<-ID->56-1type(2)<Speaker>56-1式</Speaker>||:啊……指揮官!!!+您、您怎麼過來了……
18435<-ID->()||:看到我過來，56式的表情有些驚訝但身體依舊是無力的癱在沙發的靠背上。
18436<-ID->指揮官()||:工作人員叫我來的。+你是哪裡不舒服？
18437<-ID->56-1type(2)<Speaker>56-1式</Speaker>||:唉……+其實也沒啥，就是有點餓。
18438<-ID->指揮官()||:餓了？
18439<-ID->56-1type(2)<Speaker>56-1式</Speaker>||:花兩三個小時化妝，完了之後這個姿勢那個姿勢的擺來擺去，還不叫我隨便動。+折騰這麼一早上……胃裡空空的，一點力氣都沒了！
18440<-ID->指揮官()||:……我倒覺得你現在力氣還是挺足夠的。
18441<-ID->56-1type(2)<Speaker>56-1式</Speaker>||:這是我最後的能量了，指揮官！+人是鐵飯是鋼，一頓不吃餓得慌啊……+再這麼下去，我怕是過會兒就要強制休眠了……
18442<-ID->指揮官()||:我知道了。+不過現在還沒到吃飯時間，預定的午餐還要過一陣才能送到。+我去問問攝影棚，看他們這邊有沒有什麼小點心吧。
18443<-ID->56-1type(2)<Speaker>56-1式</Speaker>||:他們這邊只有餅乾和巧克力還有糖。+不是鹹得要死就是甜得要命，根本就沒法下口嘛……
18444<-ID->指揮官()||:看來你已經問過他們了。+不過這麼說的話，我覺得你還不夠餓。
18445<-ID->56-1type(2)<Speaker>56-1式</Speaker>||:蛤？
18446<-ID->指揮官()||:要是真餓急了，不是應該什麼都吃的下去嗎？
